ID,Gene Name,UniProt ID,Species,Drug IDs
3599,GABRD,O14764,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00659; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01588; DB01589; DB01708; DB01956; DB09118; DB11859; DB11901
3596,GABRP,O00591,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00659; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01588; DB01589; DB01708; DB01956; DB09118; DB11859; DB11901
396,GRIN2D,O15399,Humans,DB00659; DB01043; DB01238; DB09409; DB09481; DB13146
534,GRIN3B,O60391,Humans,DB00659; DB01043; DB01238; DB09409; DB09481; DB13146
4817,HTR3B,O95264,Humans,DB00715; DB01049; DB11273; DB12141; DB13345
4820,HTR3E,A5X5Y0,Humans,DB00715; DB01049; DB11273; DB12141; DB13345
4827,NFATC1,O95644,Humans,DB00852
4832,PGRMC1,O00264,Humans,DB00514
4832,PGRMC1,O00264,Humans,DB00540; DB01104
3636,SCN2B,O60939,Humans,DB00243; DB00313; DB00776; DB05541; DB13269; DB13961
3637,SCN3B,Q9NY72,Humans,DB00243; DB00313; DB00776; DB05541; DB13269; DB13961
9289,CACNG3,O60359,Humans,DB00153; DB00421; DB11148; DB13746
2357,CACNA1F,O60840,Humans,DB00153; DB00421; DB11148; DB13746
2356,CACNB4,O00305,Humans,DB00153; DB00421; DB11148; DB13746
356,CACNA1A,O00555,Humans,DB00153; DB00421; DB11148; DB13746
483,CACNA1G,O43497,Humans,DB00153; DB00421; DB11148; DB13746
864,CACNA1H,O95180,Humans,DB00153; DB00421; DB11148; DB13746
415,KCNN4,O15554,Humans,DB00721; DB09089
254,PRKAB1,Q9Y478,Humans,DB00945; DB12010
774,PRKAB2,O43741,Humans,DB00945; DB12010
2085,PDE2A,O00408,Humans,DB00201
182,PDE5A,O76074,Humans,DB00201
3717,PDE8A,O60658,Humans,DB00201
3718,PDE8B,O95263,Humans,DB00201
3134,PDE9A,O76083,Humans,DB00201
1126,FOS,P01100,Humans,DB00852
396,GRIN2D,O15399,Humans,DB00193; DB00289; DB00312; DB00333; DB00418; DB00843; DB00874; DB01174; DB01708; DB04896; DB11823
534,GRIN3B,O60391,Humans,DB00193; DB00289; DB00312; DB00333; DB00418; DB00843; DB00874; DB01174; DB01708; DB04896; DB11823
4926,ESRRB,O95718,Humans,DB00255; DB07776
5116,KCNH1,O95259,Humans,DB00458; DB00637
5867,FGF19,O95750,Humans,DB01109
5908,HCRTR1,O43613,Humans,DB09034; DB11951
5909,HCRTR2,O43614,Humans,DB09034; DB11951
2367,HDAC3,O15379,Humans,DB05015; DB06603
4779,MT2A,P02795,Humans,DB12965
2357,CACNA1F,O60840,Humans,DB00252; DB00825; DB09089; DB09236; DB09238; DB13746
2356,CACNB4,O00305,Humans,DB00252; DB00825; DB09089; DB09236; DB09238; DB13746
356,CACNA1A,O00555,Humans,DB00252; DB00825; DB09089; DB09236; DB09238; DB13746
483,CACNA1G,O43497,Humans,DB09089; DB09238; DB13746
864,CACNA1H,O95180,Humans,DB09089; DB09238; DB13746
356,CACNA1A,O00555,Humans,DB13746
4796,TFRC,P02786,Humans,DB01592; DB13949; DB14488; DB14489; DB14490; DB14491; DB14501; DB14520
5895,APOC2,P02655,Humans,DB09130
5896,APOC3,P02656,Humans,DB09130
8919,TP73,O15350,Humans,DB01593; DB14487; DB14533
8977,C9,P02748,Humans,DB09130
9015,SERPINA3,P01011,Humans,DB01593; DB14487; DB14533
9143,HLA-B,P18465,Humans,DB01048
9344,STK38L,Q9Y2H1,Humans,DB12010
9348,TBK1,Q9UHD2,Humans,DB12010
9353,TNIK,Q9UKE5,Humans,DB12010
9383,DCLK1,O15075,Humans,DB12010
9396,EPHB6,O15197,Humans,DB12010
9399,GAK,O14976,Humans,DB12010
9419,MAP3K13,O43283,Humans,DB12010
9427,MAP4K4,O95819,Humans,DB12010
9433,MARK1,Q9P0L2,Humans,DB12010
9445,MUSK,O15146,Humans,DB12010
9456,NUAK1,O60285,Humans,DB12010
9461,PAK3,O75914,Humans,DB12010
9462,PAK4,O96013,Humans,DB12010
9464,PAK5,Q9P286,Humans,DB12010
9468,PIK3C2B,O00750,Humans,DB12010
9469,PIK3C2G,O75747,Humans,DB12010
9486,RIPK2,O43353,Humans,DB12010
9495,STK10,O94804,Humans,DB12010
9496,STK16,O75716,Humans,DB12010
9500,GAST,P01350,Humans,DB12532
4817,HTR3B,O95264,Humans,DB00898; DB00988
4820,HTR3E,A5X5Y0,Humans,DB00898
414,GLRA3,O75311,Humans,DB01043
538,FGA,P02671,Humans,DB00364
2091,FGB,P02675,Humans,DB00364
2092,FGG,P02679,Humans,DB00364
9643,XPO1,O14980,Humans,DB11942
2357,CACNA1F,O60840,Humans,DB00243; DB00273; DB13961
2356,CACNB4,O00305,Humans,DB00243; DB00273; DB13961
182,PDE5A,O76074,Humans,DB00201
